Nom,Prix,Carburant,Modèle,CV,KM,Ville
FIAT Punto Evo,92.000 DH,Diesel,2016,5 cv,116.000 km,Casablanca
VOLKSWAGEN Golf,13.000 DH,Diesel,2010,8 cv,200.000 km,Berkane
BMW Série 3,173.000 DH,Diesel,2014,8 cv,230.000 km,El Jadida
VOLKSWAGEN Tiguan,170.000 DH,Diesel,2012,8 cv,210.000 km,Marrakech
DFSK K01H,130.000 DH,Diesel,2021,6 cv,13.000 km,Casablanca
AUDI Q5,450.000 DH,Diesel,2017,8 cv,145.000 km,Casablanca
SEAT Ateca,270.000 DH  VENDUE,Diesel,2023,8 cv,7.000 km,Safi
ALFA ROMEO Giulietta,230.000 DH,Diesel,2019,8 cv,30.000 km,Marrakech
VOLKSWAGEN Polo,110.000 DH  VENDUE,Essence,2017,6 cv,36.500 km,Tanger
SEAT Arona,220.000 DH,Diesel,2022,6 cv,54.000 km,Casablanca
SKODA Kodiaq,300.000 DH,Diesel,2019,8 cv,94.000 km,Casablanca
FORD Fiesta,89.000 DH,Essence,2014,5 cv,40.000 km,Casablanca
VOLKSWAGEN Tiguan,210.000 DH,Diesel,2016,8 cv,61.000 km,Temara
FORD Kuga,219.000 DH,Diesel,2019,8 cv,86.900 km,Mohammadia
BMW X1,190.000 DH  VENDUE,Diesel,2015,8 cv,105.000 km,Safi
CUPRA Formentor,300.000 DH,Diesel,2024,8 cv,68.000 km,Casablanca
RENAULT Clio,140.000 DH,Diesel,2018,6 cv,47.557 km,Casablanca
MASERATI Ghibli,310.000 DH,Diesel,2016,12 cv,188.000 km,Meknès
VOLVO S60,270.000 DH,Essence,2021,11 cv,49.000 km,Casablanca
VOLVO V60,195.000 DH,Diesel,2014,8 cv,68.000 km,Tétouan
VOLVO XC90 PHEV,600.000 DH,Hybride,2021,8 cv,54.000 km,Tanger
PEUGEOT 3008,228.000 DH  VENDUE,Diesel,2018,8 cv,155.000 km,Rabat
FIAT Freemont,135.000 DH,Diesel,2014,8 cv,116.000 km,Agadir
BMW Série 5,360.000 DH,Diesel,2018,8 cv,64.000 km,Casablanca
VOLKSWAGEN Polo,90.000 DH  VENDUE,Diesel,2013,7 cv,240.000 km,Casablanca
AUDI A6,170.000 DH,Diesel,2015,12 cv,155.000 km,Rabat
KIA Carens,139.000 DH,Diesel,2016,7 cv,178.000 km,Meknès
VOLKSWAGEN Tiguan,360.000 DH,Diesel,2018,8 cv,153.000 km,Errachidia
VOLKSWAGEN Tiguan,377.999 DH,Diesel,2023,8 cv,11.500 km,Casablanca
FORD Kuga,165.000 DH,Diesel,2016,8 cv,168.000 km,Errachidia
OPEL Astra,58.000 DH,Diesel,2007,7 cv,200.000 km,Agadir
AUDI A6,280.000 DH,Diesel,2018,8 cv,103.667 km,Casablanca
MERCEDES Classe C,250.000 DH,Diesel,2016,8 cv,136.200 km,Marrakech
RENAULT Symbol,55.000 DH  VENDUE,Essence,2014,7 cv,200.000 km,Temara
PEUGEOT 206,65.000 DH,Essence,2012,6 cv,170.000 km,Casablanca
CHEVROLET Cruze,48.000 DH,Essence,2012,8 cv,120.000 km,Marrakech
SEAT Ibiza,92.000 DH,Essence,2013,7 cv,83.000 km,Rabat
MERCEDES Classe B,200.000 DH,Diesel,2016,8 cv,88.000 km,Oujda
HYUNDAI Accent,170.000 DH,Diesel,2021,6 cv,60.000 km,Casablanca
PEUGEOT 207,85.000 DH,Diesel,2011,6 cv,81.200 km,Casablanca
MINI Countryman,180.000 DH,Diesel,2016,8 cv,83.000 km,Casablanca
FIAT Tipo,120.000 DH,Diesel,2018,6 cv,88.000 km,Casablanca
FIAT Palio,35.000 DH,Diesel,2002,7 cv,170.000 km,Salé
MERCEDES Classe A,175.000 DH,Diesel,2015,9 cv,190.000 km,Rabat
MERCEDES GLC,380.000 DH,Diesel,2020,8 cv,158.000 km,Casablanca
AUDI 90,20.000 DH,Diesel,2013,8 cv,50.000 km,Tanger
RENAULT R19,40.000 DH,Essence,2008,9 cv,190.000 km,Nador
CITROEN C5 AirCross,235.000 DH,Diesel,2020,8 cv,94.000 km,Mohammadia
NISSAN Note,97.000 DH,Diesel,2017,6 cv,152.000 km,Casablanca
FORD Fiesta,115.000 DH,Diesel,2017,6 cv,150.000 km,Casablanca
DACIA Sandero,165.000 DH,Diesel,2023,6 cv,18.000 km,Rabat
FIAT Doblo,109.000 DH,Diesel,2021,5 cv,72.000 km,Sefrou
BMW Série 2 Coupé,260.000 DH,Diesel,2017,8 cv,140.000 km,Casablanca
HYUNDAI Tucson,335.000 DH,Diesel,2021,7 cv,60.000 km,Rabat
CITROEN C-Elysée,139.000 DH,Diesel,2021,6 cv,30.000 km,Casablanca
PORSCHE Panamera,1.170.000 DH,Hybride,2021,cv,30.000 km,Casablanca
RENAULT Arkana,320.000 DH,Hybride,2023,9 cv,10.400 km,Tanger
PEUGEOT 208,137.000 DH,Diesel,2019,6 cv,62.500 km,Rabat
BMW Série 3,187.000 DH,Diesel,2015,8 cv,200.000 km,Rabat
TOYOTA C-HR,240.000 DH,Essence,2021,10 cv,36.000 km,Marrakech
OPEL Mokka,230.000 DH,Diesel,2023,6 cv,5.000 km,Mohammadia
LAND ROVER Range Rover Evoque,240.000 DH,Diesel,2013,9 cv,160.000 km,Rabat
LAND ROVER Range Rover Evoque,200.000 DH,Diesel,2013,9 cv,216.000 km,Temara
PEUGEOT 301,155.000 DH  VENDUE,Diesel,2021,6 cv,29.600 km,Casablanca
HYUNDAI Tucson,390.000 DH,Diesel,2024,8 cv,23.000 km,Casablanca
LAND ROVER Discovery Sport,340.000 DH,Diesel,2017,8 cv,115.000 km,Kénitra
FORD Focus,12.000 DH,Diesel,2011,cv,21.100 km,Casablanca
FORD Fusion,240.000 DH,Diesel,2019,8 cv,98.600 km,Tanger
BMW Série 5,215.000 DH,Diesel,2014,8 cv,129.100 km,Agadir
SKODA Fabia,115.000 DH,Essence,2020,6 cv,41.500 km,Rabat
SKODA Kodiaq,350.000 DH,Diesel,2020,8 cv,125.000 km,Marrakech
DACIA Logan,105.000 DH,Diesel,2019,6 cv,185.742 km,Fès
HYUNDAI Tucson,280.000 DH,Diesel,2021,6 cv,86.000 km,Agadir
RENAULT Captur,200.000 DH,Diesel,2020,6 cv,77.000 km,Marrakech
HYUNDAI ix35,125.000 DH,Diesel,2012,8 cv,240.000 km,Oujda
BMW Série 5,230.000 DH,Diesel,2016,8 cv,168.000 km,Rabat
LAND ROVER Range Rover Sport,580.000 DH,Diesel,2020,11 cv,90.000 km,Casablanca
BMW Série 3,85.000 DH,Essence,2011,11 cv,128.000 km,Rabat
BMW Série 3,219.000 DH,Diesel,2016,8 cv,157.000 km,Rabat
BMW X3,230.000 DH,Diesel,2015,8 cv,141.600 km,Agadir
BMW X1,147.000 DH,Diesel,2014,8 cv,200.000 km,Casablanca
AUDI A4,52.000 DH,Diesel,2001,8 cv,313.700 km,Casablanca
HYUNDAI Santa Fe,260.000 DH,Diesel,2018,cv,140.000 km,Casablanca
MAZDA 2,48.000 DH,Essence,2008,8 cv,147.000 km,Marrakech
BMW Série 7,120.000 DH,Essence,2009,17 cv,150.000 km,Casablanca
RENAULT Clio,160.000 DH,Diesel,2021,6 cv,50.300 km,Rabat
AUDI Q3,350.000 DH,Diesel,2019,8 cv,114.000 km,Casablanca
DACIA Duster,183.000 DH,Diesel,2021,6 cv,70.000 km,Marrakech
BMW Série 5,255.000 DH,Diesel,2016,8 cv,220.000 km,Marrakech
VOLKSWAGEN Jetta,195.000 DH,Diesel,2020,8 cv,87.000 km,Rabat
CITROEN C3 AirCross,170.000 DH,Diesel,2019,6 cv,134.000 km,Casablanca
MERCEDES GLE Coupé PHEV,1.450.000 DH,Hybride,2024,12 cv,1.000 km,Casablanca
OPEL Adam,93.000 DH,Essence,2017,7 cv,158.000 km,Rabat
FORD C-Max,160.000 DH,Diesel,2016,6 cv,185.000 km,Casablanca
VOLVO XC60,200.000 DH  VENDUE,Diesel,2016,8 cv,170.000 km,Rabat
VOLVO XC60,115.000 DH  VENDUE,Diesel,2011,10 cv,209.000 km,Tanger
FORD Mondeo,105.000 DH,Diesel,2014,8 cv,146.000 km,Agadir
VOLKSWAGEN Transporter,320.000 DH,Diesel,2024,10 cv,340.000 km,Agadir
TOYOTA C-HR,270.000 DH,Hybride,2022,10 cv,21.100 km,Marrakech
FORD Kuga,151.000 DH,Diesel,2014,8 cv,157.000 km,Casablanca
BMW Série 5,150.000 DH,Diesel,2012,12 cv,280.000 km,Rabat
NISSAN Juke,102.000 DH  VENDUE,Essence,2012,9 cv,128.000 km,Rabat
PEUGEOT 3008,119.000 DH,Diesel,2014,6 cv,120.000 km,Oujda
CITROEN C3,11.600 DH,Diesel,2018,6 cv,168.000 km,Casablanca
VOLKSWAGEN Passat,143.000 DH,Diesel,2014,8 cv,170.000 km,Temara
VOLKSWAGEN Tiguan,370.000 DH,Diesel,2018,8 cv,16.000 km,Casablanca
FIAT 500C,110.000 DH,Essence,2017,6 cv,39.702 km,Agadir
BMW Série 3,335.000 DH,Diesel MHEV,2021,8 cv,89.900 km,Casablanca
VOLKSWAGEN Touareg,195.000 DH,Diesel,2015,12 cv,144.000 km,Casablanca
VOLKSWAGEN Polo Sedan,38.000 DH,Diesel,2000,8 cv,1.500.000 km,Tanger
NISSAN Qashqai,215.000 DH  VENDUE,Diesel,2020,6 cv,104.000 km,Casablanca
RENAULT Captur,195.000 DH,Diesel,2021,6 cv,41.000 km,Fès
LAND ROVER Discovery Sport,195.000 DH,Diesel,2016,8 cv,157.000 km,Casablanca
VOLKSWAGEN Tiguan,320.000 DH  VENDUE,Diesel,2019,8 cv,195.000 km,Rabat
HYUNDAI Accent,62.000 DH,Diesel,2009,6 cv,290.000 km,Casablanca
DACIA Logan,155.000 DH,Diesel,2023,6 cv,10.070 km,Marrakech
HYUNDAI i10,55.000 DH  VENDUE,Essence,2009,6 cv,200.650 km,Casablanca
RENAULT Clio,82.000 DH,Diesel,2012,5 cv,188.000 km,Marrakech
AUDI Q3,330.000 DH,Diesel,2020,8 cv,78.000 km,Rabat
FORD Kuga,160.000 DH,Diesel,2016,8 cv,126.000 km,Casablanca
PEUGEOT 2008,158.000 DH,Diesel,2019,6 cv,122.000 km,Fès
MERCEDES CLA Coupé,270.000 DH,Diesel,2016,9 cv,140.000 km,Rabat
BMW X1,105.000 DH,Essence,2013,11 cv,105.000 km,Casablanca
VOLKSWAGEN Tiguan,345.000 DH,Diesel,2019,8 cv,128.000 km,Fès
PEUGEOT 508,87.000 DH,Diesel,2011,6 cv,280.020 km,Dakhla
FORD Focus,143.000 DH,Diesel,2017,6 cv,131.000 km,Fès
VOLKSWAGEN Tiguan,215.000 DH,Diesel,2018,8 cv,107.000 km,Taza
RENAULT Clio,165.000 DH,Diesel,2021,6 cv,83.000 km,Casablanca
NISSAN Qashqai,195.000 DH,Diesel,2018,6 cv,96.000 km,Marrakech
OPEL Insignia,125.000 DH,Diesel,2014,8 cv,262.000 km,Casablanca
SKODA Kodiaq,345.000 DH,Diesel,2023,8 cv,23.700 km,Taza
AUDI A4,170.000 DH,Diesel,2013,8 cv,274.000 km,Casablanca
SKODA Kamiq,290.000 DH,Diesel,2024,6 cv,1.000 km,Casablanca
HYUNDAI Creta,222.000 DH,Diesel,2020,6 cv,23.987 km,Tanger
SKODA Karoq,270.000 DH,Diesel,2021,8 cv,120.000 km,Kénitra
MERCEDES Classe C,730.000 DH,Diesel,2021,8 cv,28.000 km,Casablanca
VOLKSWAGEN Touareg,143.000 DH,Diesel,2013,12 cv,148.000 km,Marrakech
DACIA Sandero,148.000 DH,Diesel,2020,6 cv,30.000 km,Fès
AUDI Q8,875.000 DH,Diesel,2020,12 cv,85.000 km,Casablanca
LAND ROVER Range Rover Evoque,220.000 DH,Diesel,2016,9 cv,169.000 km,Marrakech
VOLKSWAGEN Passat,190.000 DH,Diesel,2017,8 cv,175.000 km,Casablanca
MERCEDES Classe A Berline,350.000 DH,Diesel,2020,8 cv,69.000 km,Rabat
MERCEDES Classe E,275.000 DH  VENDUE,Diesel,2016,8 cv,120.000 km,Casablanca
CHEVROLET Trax,120.000 DH,Diesel,2013,7 cv,180.000 km,Casablanca
NISSAN Qashqai,155.000 DH,Diesel,2017,8 cv,92.000 km,Rabat
TOYOTA RAV 4,365.000 DH,Hybride,2021,cv,62.000 km,Casablanca
NISSAN Qashqai,220.000 DH,Diesel,2021,6 cv,46.800 km,El Jadida
MERCEDES Citan,220.000 DH,Diesel,2014,9 cv,150.000 km,Kénitra
BMW Série 3,260.000 DH,Diesel,2018,8 cv,132.186 km,Fès
NISSAN Qashqai,220.000 DH,Diesel,2019,6 cv,67.000 km,Casablanca
TOYOTA C-HR,235.000 DH  VENDUE,Hybride,2022,10 cv,58.000 km,Casablanca
HYUNDAI Tucson,250.000 DH  VENDUE,Diesel,2022,6 cv,106.000 km,Casablanca
MERCEDES GLC Coupé PHEV,820.000 DH,Hybride,2021,9 cv,35.000 km,Casablanca
TOYOTA Yaris,122.000 DH  VENDUE,Diesel,2017,5 cv,68.000 km,Fès
JEEP Grand Cherokee,200.000 DH  VENDUE,Diesel,2017,12 cv,91.000 km,Casablanca
DACIA Logan,116.000 DH  VENDUE,Diesel,2020,6 cv,89.000 km,Rabat
HYUNDAI Tucson,280.000 DH  VENDUE,Diesel,2021,6 cv,124.000 km,Fès
HYUNDAI Tucson,270.000 DH  VENDUE,Diesel,2021,6 cv,154.000 km,Fès
VOLKSWAGEN Golf,168.000 DH  VENDUE,Diesel,2017,8 cv,141.000 km,Oujda
CHEVROLET Captiva,125.000 DH  VENDUE,Diesel,2009,8 cv,200.000 km,Temara
MERCEDES Classe A,205.000 DH  VENDUE,Diesel,2017,6 cv,113.000 km,Rabat
OPEL Grandland,187.000 DH  VENDUE,Diesel,2020,6 cv,83.000 km,Marrakech
PEUGEOT 208,153.000 DH  VENDUE,Diesel,2020,6 cv,34.000 km,Marrakech
VOLKSWAGEN Tiguan,220.000 DH  VENDUE,Diesel,2018,8 cv,140.000 km,Casablanca
JEEP Renegade,190.000 DH  VENDUE,Diesel,2019,6 cv,70.000 km,Casablanca
VOLKSWAGEN Touareg,460.000 DH  VENDUE,Diesel,2021,12 cv,47.000 km,Tétouan
SEAT Ateca,280.000 DH  VENDUE,Diesel,2023,8 cv,6.930 km,Tanger
VOLKSWAGEN Tiguan,183.000 DH  VENDUE,Diesel,2012,8 cv,190.000 km,Rabat
NISSAN Juke,250.000 DH  VENDUE,Essence,2024,6 cv,5.200 km,El Jadida
PEUGEOT 306,30.000 DH  VENDUE,Diesel,1999,8 cv,400.000 km,Khouribga
PORSCHE Cayenne,470.000 DH  VENDUE,Diesel,2018,cv,200.000 km,Casablanca
AUDI A4,188.000 DH  VENDUE,Diesel,2014,8 cv,190.000 km,Rabat
FIAT 500,129.000 DH  VENDUE,Essence,2019,7 cv,70.000 km,Fès
VOLKSWAGEN CC,185.000 DH  VENDUE,Diesel,2017,8 cv,111.000 km,Mohammadia
VOLKSWAGEN Tiguan,215.000 DH  VENDUE,Diesel,2014,8 cv,204.000 km,Mohammadia
MERCEDES Classe E,150.000 DH  VENDUE,Diesel,2010,12 cv,255.000 km,Temara
HYUNDAI Accent,110.000 DH  VENDUE,Diesel,2014,6 cv,170.000 km,Tanger
NISSAN Qashqai,172.000 DH  VENDUE,Diesel,2015,6 cv,88.000 km,Rabat
RENAULT Arkana,345.000 DH  VENDUE,Hybride,2024,9 cv,3.000 km,Rabat
JEEP Renegade,200.000 DH  VENDUE,Diesel,2020,6 cv,10.700 km,Rabat
HONDA CR-V,90.000 DH  VENDUE,Diesel,2009,9 cv,270.000 km,Dakhla
HYUNDAI Accent,148.000 DH  VENDUE,Diesel,2020,6 cv,61.500 km,Marrakech
NISSAN Juke,165.000 DH  VENDUE,Diesel,2017,6 cv,85.700 km,Fès
LAND ROVER Range Rover Sport,395.000 DH  VENDUE,Diesel,2016,12 cv,132.000 km,Rabat
DACIA Dokker,140.000 DH  VENDUE,Diesel,2019,6 cv,59.000 km,Casablanca
HYUNDAI i10,68.000 DH  VENDUE,Essence,2012,6 cv,41.000 km,Casablanca
FORD Focus Sedan,215.000 DH  VENDUE,Diesel,2021,6 cv,55.000 km,Settat
RENAULT Kadjar,185.000 DH  VENDUE,Diesel,2019,6 cv,92.000 km,Casablanca
VOLKSWAGEN Touareg,142.000 DH  VENDUE,Diesel,2013,12 cv,121.000 km,Rabat
PEUGEOT 2008,235.000 DH  VENDUE,Diesel,2020,6 cv,93.000 km,Casablanca
MERCEDES Classe C,158.000 DH  VENDUE,Diesel,2012,8 cv,250.000 km,Casablanca
SEAT Arona,219.000 DH  VENDUE,Diesel,2022,6 cv,21.700 km,Casablanca
TOYOTA RAV 4,350.000 DH  VENDUE,Hybride,2023,14 cv,120.000 km,Marrakech
AUDI Q3,195.000 DH  VENDUE,Diesel,2017,8 cv,180.000 km,Casablanca
TOYOTA Corolla Prestige,230.000 DH  VENDUE,Hybride,2022,8 cv,37.000 km,Kénitra
OPEL Astra,162.000 DH  VENDUE,Diesel,2019,6 cv,92.000 km,Rabat
TOYOTA RAV 4,220.000 DH  VENDUE,Diesel,2020,9 cv,102.000 km,Agadir
VOLKSWAGEN Passat,133.000 DH  VENDUE,Diesel,2011,6 cv,260.000 km,Khouribga
RENAULT Clio,110.000 DH  VENDUE,Diesel,2017,6 cv,168.000 km,Tétouan
TOYOTA Corolla Sport,200.000 DH  VENDUE,Hybride,2021,10 cv,56.000 km,Casablanca
VOLKSWAGEN Golf,193.000 DH  VENDUE,Diesel,2019,8 cv,91.000 km,Rabat
SKODA Kodiaq,220.000 DH  VENDUE,Diesel,2024,8 cv,150.000 km,Agadir
LAND ROVER Range Rover Velar,600.000 DH  VENDUE,Diesel MHEV,2021,8 cv,46.000 km,Fès
FORD Mustang,345.000 DH  VENDUE,Essence,2020,13 cv,16.000 km,Casablanca
OPEL Astra,180.000 DH  VENDUE,Diesel,2021,6 cv,28.600 km,Casablanca
PEUGEOT 407 SW,75.000 DH  VENDUE,Diesel,2011,8 cv,274.000 km,Guelmim
JAGUAR XF,180.000 DH  VENDUE,Diesel,2014,9 cv,155.000 km,Casablanca
HONDA Civic,65.000 DH  VENDUE,Essence,2006,10 cv,264.000 km,Khemissate
BMW Série 5,230.000 DH  VENDUE,Diesel,2016,8 cv,139.000 km,Casablanca
BMW Série 2 Gran Tourer,188.000 DH  VENDUE,Diesel,2017,8 cv,85.000 km,Casablanca
FIAT Freemont,140.000 DH  VENDUE,Diesel,2016,8 cv,192.000 km,Sidi Kacem
FORD Focus,145.000 DH  VENDUE,Diesel,2016,6 cv,98.267 km,Fès
TOYOTA Verso,99.000 DH  VENDUE,Diesel,2009,9 cv,93.000 km,Rabat
FORD Focus,150.000 DH  VENDUE,Diesel,2016,6 cv,124.000 km,Rabat
CITROEN C4 Cactus,140.000 DH  VENDUE,Diesel,2016,6 cv,68.900 km,Tanger
HONDA CR-V,185.000 DH  VENDUE,Diesel,2018,6 cv,143.000 km,Aït Melloul
DACIA Dokker,95.000 DH  VENDUE,Diesel,2014,6 cv,304.000 km,Fès
PEUGEOT 307,70.000 DH  VENDUE,Diesel,2007,6 cv,290.000 km,Rabat
VOLKSWAGEN Golf,158.000 DH  VENDUE,Diesel,2016,6 cv,250.000 km,Rabat
